city,lng,iso2,population
Yekaterinburg,60.6128,RU,1468833
Huazhou,112.087,CN,1468061
Jinhua,119.647,CN,1463990
Kyōto,135.7683,JP,1463723
Amsterdam,4.8936,NL,1459402
Pizhou,117.89,CN,1458038
Kismaayo,42.5453,SO,1458000
Yangshe,120.556,CN,1447600
Virginia Beach,-76.0435,US,1443020
Dakar,-17.4467,SN,1438725
Goiânia,-49.25,BR,1437237
Charlotte,-80.8303,US,1427444
Rui’an,120.625,CN,1424667
Muscat,58.5922,OM,1421409
Kharkiv,36.2311,UA,1421125
Wenling,121.3667,CN,1416199
Gaozhou,110.8422,CN,1414100
Farīdābād,77.3078,IN,1414050
Medina,39.61,SA,1411599
Khulna,89.55,BD,1400689
Ulaanbaatar,106.9172,MN,1396288
Fuqing,119.3833,CN,1390487
Kayseri,35.4875,TR,1389680
Tel Aviv-Yafo,34.78,IL,1388400
Wuzhong,106.1986,CN,1382713
Pingdu,119.9884,CN,1378900
Sangereng,106.7181,ID,1378466
Yangquan,113.5804,CN,1368502
Samsun,36.3336,TR,1368488
Yutan,112.552,CN,1368117
Copenhagen,12.5683,DK,1366301
Helsinki,24.9375,FI,1360075
Prague,14.4214,CZ,1357326
Milan,9.19,IT,1354196
Auckland,174.74,NZ,1346091
Santiago,-70.6889,DO,1343423
Chizhou,117.4916,CN,1342764
Makassar,119.4362,ID,1338663
Liangshi,111.7442,CN,1335900
Porto Alegre,-51.23,BR,1332570
Huangshan,118.3376,CN,1330565
Barranquilla,-74.8019,CO,1326588
Al Başrah,47.81,IQ,1326564
Benxi,123.685,CN,1326018
Saitama,139.6456,JP,1325843
Guarulhos,-46.5328,BR,1324781
Juárez,-106.485,MX,1321004
Mandalay,96.0844,MM,1319452
Xintai,117.768,CN,1315942
Wusong,117.7667,CN,1311726
Calgary,-114.0667,CA,1306784
Meerut,77.71,IN,1305429
Yushu,126.55,CN,1304436
Belém,-48.5039,BR,1303389
Kuaidamao,125.9397,CN,1302778
Huazhou,110.6396,CN,1302100
Baishan,126.4147,CN,1296127
Adelaide,138.6,AU,1295714
Haicheng,122.6852,CN,1293877
Milwaukee,-87.9675,US,1290940
Providence,-71.4187,US,1290271
Jacksonville,-81.6749,US,1288298
Yicheng,119.815,CN,1285785
Cacuaco,13.2444,AO,1279488
Porto,-8.622,PT,1278210
Rosario,-60.6394,AR,1276000
Canagatan,121.8,PH,1273219
Soweto,27.8585,ZA,1271628
Bagam,104.0531,ID,1269820
Jabalpur,79.9333,IN,1267564
Rucheng,120.591,CN,1267066
Huaiyin,119.028,CN,1264000
Dublin,-6.2603,IE,1263219
Kazan,49.1089,RU,1259173
Dayan,100.2259,CN,1253878
Shaoyang,119.8526,CN,1253548
Balıkesir,27.8833,TR,1250610
Comayagüela,-87.21,HN,1250000
Laiwu,117.6667,CN,1248636
Sharjah,55.3908,AE,1247749
Jingling,113.167,CN,1247400
Kalyān,73.1602,IN,1246381
Nizhniy Novgorod,44.0075,RU,1244254
Yongcheng,116.45,CN,1240382
Sumedang,107.9208,ID,1240000
Cần Thơ,105.7833,VN,1237300
Brussels,4.3525,BE,1235192
Suwon,127.0167,KR,1234300
Yiwu,120.0753,CN,1234015
Beidao,105.918,CN,1225000
Vasai-Virar,72.7956,IN,1221233
Xiangshui,104.8314,CN,1221000
Dadukou,101.7184,CN,1214121
